Texture ../data/textures/char1.png(1ms).
mode: client
name: Linko
ip: 127.0.0.1
port: 25
protocol: udp

connecting...
Texture ../data/textures/wall.jpg(3ms).
Texture ../data/textures/fire.jpg(5ms).
Texture ../data/textures/rock.png(28ms).
1 sending socket type 1, 0: -33.3333, 1: -33.3333, 2: 20, 3: 0
Connection to server established! launching threads...
1 sending socket type 1, 0: -33.3333, 1: -33.3333, 2: 19.99, 3: 47.9
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
Connection succesful!
End client connection thread
1 sending socket type 1, 0: -33.3333, 1: -33.3333, 2: 19.9133, 3: 47.9
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -33.3333, 1: -33.3333, 2: 19.706, 3: 47.9
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -33.3333, 1: -33.3333, 2: 19.3473, 3: 47.9
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -33.3333, 1: -33.3333, 2: 18.8287, 3: 47.9
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -33.3333, 1: -33.3333, 2: 18.3347, 3: 47.9
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -33.3333, 1: -33.3333, 2: 17.536, 3: 47.9
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -33.3333, 1: -33.3333, 2: 16.832, 3: 48.1
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -33.3333, 1: -33.3333, 2: 15.7533, 3: 50.7
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
press 3 key
1 sending socket type 1, 0: -33.3346, 1: -33.3069, 2: 14.5147, 3: 57
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -33.3446, 1: -33.2132, 2: 13.4807, 3: 62.5
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -33.391, 1: -33.018, 2: 12.3567, 3: 67.8
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
press 0 key
1 sending socket type 1, 0: -33.4391, 1: -32.8261, 2: 12.6513, 3: 69.9
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -33.472, 1: -32.4861, 2: 12.9041, 3: 71.5
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -33.4944, 1: -32.1224, 2: 12.9969, 3: 73
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -33.5159, 1: -31.8497, 2: 12.9615, 3: 73.7
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -33.562, 1: -31.4861, 2: 12.7743, 3: 74.5
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -33.6135, 1: -31.2133, 2: 12.5289, 3: 75.3
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -33.7067, 1: -30.8497, 2: 12.0617, 3: 78.7
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -33.8328, 1: -30.4861, 2: 12.1293, 3: 82.3
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -33.9499, 1: -30.2133, 2: 12.1069, 3: 85.3
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.1358, 1: -29.8497, 2: 12.0467, 3: 90.6
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
press 3 key
1 sending socket type 1, 0: -34.2726, 1: -29.577, 2: 12.0248, 3: 91.5
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.3803, 1: -29.2133, 2: 12.007, 3: 92.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4302, 1: -28.8497, 2: 12.001, 3: 93.5
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4438, 1: -28.577, 2: 12.001, 3: 95
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4449, 1: -28.2133, 2: 12.001, 3: 98
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4408, 1: -27.9406, 2: 12.001, 3: 99.9
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4363, 1: -27.577, 2: 12.001, 3: 100.7
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
press 0 key
1 sending socket type 1, 0: -34.4347, 1: -27.2216, 2: 12.001, 3: 101
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4341, 1: -27.0161, 2: 12.001, 3: 101.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4336, 1: -26.8193, 2: 12.001, 3: 102.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4333, 1: -26.7138, 2: 12.001, 3: 102.8
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.433, 1: -26.6128, 2: 12.001, 3: 103.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4329, 1: -26.5438, 2: 12.001, 3: 105.5
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4328, 1: -26.5068, 2: 12.001, 3: 106.2
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4327, 1: -26.4714, 2: 12.001, 3: 106.6
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4326, 1: -26.4525, 2: 12.001, 3: 106.6
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4326, 1: -26.4343, 2: 12.001, 3: 106.6
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4325, 1: -26.4219, 2: 12.001, 3: 106.6
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4325, 1: -26.4152, 2: 12.001, 3: 106.6
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
Texture ../data/textures/rope.jpg(9ms).
1 sending socket type 2, 0: -34.4325, 1: -26.4089, 2: 12.001, 3: 0.0150527
2 sending socket type 1, 0: -34.4325, 1: -26.4089, 2: 12.001, 3: 106.6
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4325, 1: -26.4022, 2: 12.001, 3: 106.6
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4325, 1: -26.4, 2: 12.001, 3: 106.6
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4325, 1: -26.3988, 2: 12.001, 3: 106.6
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
update hook
distance: 13.7937
1 sending socket type 1, 0: -34.4315, 1: -26.4581, 2: 12.001, 3: 106.6
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4305, 1: -26.5153, 2: 12.001, 3: 106.6
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.43, 1: -26.5459, 2: 12.001, 3: 106.6
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4295, 1: -26.5753, 2: 12.001, 3: 106.6
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4292, 1: -26.591, 2: 12.001, 3: 106.6
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4289, 1: -26.606, 2: 12.001, 3: 106.5
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4288, 1: -26.6141, 2: 12.001, 3: 106.2
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4287, 1: -26.6218, 2: 12.001, 3: 105.8
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4286, 1: -26.6271, 2: 12.001, 3: 104.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4285, 1: -26.6299, 2: 12.001, 3: 104.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4285, 1: -26.6326, 2: 12.001, 3: 104.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4284, 1: -26.6341, 2: 12.001, 3: 104.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4284, 1: -26.6355, 2: 12.001, 3: 104.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
2 sending socket type 3, 0: -34.4325, 1: -26.4089, 2: 12.001, 3: 0.0150527
2 sending socket type 1, 0: -34.4284, 1: -26.6364, 2: 12.001, 3: 104.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4284, 1: -26.6374, 2: 12.001, 3: 104.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4284, 1: -26.6377, 2: 12.001, 3: 104.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4284, 1: -26.6379, 2: 12.001, 3: 104.2
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4284, 1: -26.6381, 2: 12.001, 3: 104.2
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4284, 1: -26.6382, 2: 12.001, 3: 104.2
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4284, 1: -26.6383, 2: 12.001, 3: 104.2
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4284, 1: -26.6383, 2: 12.001, 3: 104.2
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4284, 1: -26.6384, 2: 12.001, 3: 104.2
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4284, 1: -26.6384, 2: 12.001, 3: 104.2
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4284, 1: -26.6384, 2: 12.001, 3: 76.6
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4284, 1: -26.6384, 2: 12.001, 3: 76.2
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 131.8
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 107.2
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 107.2
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 107.7
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 108.4
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 108
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 106.9
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 104.8
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 103.4
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 103.2
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 103.2
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 103.2
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 103.2
received socket type 2, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 0.33458
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 103.2
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 103.2
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 103.2
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 103.2
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 103.2
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 103.2
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 103.2
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 103.2
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 103.2
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 103.2
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 103.2
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 103.2
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 103.2
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 103.2
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 103.2
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 103.2
update hook
distance: 57.5913
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 103.2
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 103.2
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 103.3
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 103.4
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 103.4
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -36.4202, 1: -38.6698, 2: 12.0012, 3: 103.4
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -36.5551, 1: -38.5593, 2: 12.0012, 3: 103.4
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -36.7829, 1: -38.4334, 2: 12.0012, 3: 103.5
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -37.2138, 1: -38.2385, 2: 12.0012, 3: 103.5
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -37.7452, 1: -38.0218, 2: 12.0012, 3: 103.5
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -38.1838, 1: -37.8516, 2: 12.0012, 3: 103.5
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -38.8161, 1: -37.6126, 2: 12.0012, 3: 106.6
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
